"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_8세","2015년_계_9세","2015년_계_10세","2015년_계_11세","2015년_계_12세","2015년_계_13세"
"서울특별시 도봉구 창제5동(1132051500)","26,997","1,250","216","185","196","213","202","238"
"서울특별시 도봉구 도봉제1동(1132052100)","23,361","745","117","109","103","129","130","157"
"서울특별시 도봉구 도봉제2동(1132052200)","29,680","1,223","222","214","203","185","189","210"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,385","1,087","178","163","162","194","185","205"
"서울특별시 도봉구 쌍문제2동(1132067000)","21,147","927","158","132","123","149","192","173"
"서울특별시 도봉구 쌍문제3동(1132068000)","17,873","689","113","116","101","115","116","128"
"서울특별시 도봉구 쌍문제4동(1132068100)","21,045","1,184","177","187","162","212","222","224"
"서울특별시 도봉구 방학제1동(1132069000)","31,373","1,373","261","202","181","237","228","264"
"서울특별시 도봉구 방학제2동(1132070000)","22,439","979","141","141","150","182","181","184"
"서울특별시 도봉구 방학제3동(1132071000)","30,839","1,834","338","287","287","335","292","295"
"서울특별시 노원구 (1135000000)","574,583","33,073","5,142","4,891","5,000","5,700","6,151","6,189"
"서울특별시 노원구 월계1동(1135056000)","22,399","970","168","168","160","139","148","187"
"서울특별시 노원구 월계2동(1135057000)","28,540","1,366","253","212","202","204","230","265"
"서울특별시 노원구 월계3동(1135058000)","34,351","1,701","370","269","287","270","254","251"
"서울특별시 노원구 공릉1동(1135059500)","39,304","1,717","311","282","249","322","246","307"
"서울특별시 노원구 공릉2동(1135060000)","44,792","2,975","468","487","436","536","539","509"
"서울특별시 노원구 하계1동(1135061100)","29,488","1,627","188","228","227","290","337","357"
"서울특별시 노원구 하계2동(1135061200)","25,030","1,778","273","261","264","297","353","330"
"서울특별시 노원구 중계본동(1135061900)","28,466","2,462","286","323","363","438","558","494"
"서울특별시 노원구 중계1동(1135062100)","29,687","3,091","365","387","439","520","711","669"
"서울특별시 노원구 중계4동(1135062400)","22,618","1,339","191","186","196","237","259","270"
"서울특별시 노원구 중계2.3동(1135062500)","40,200","2,216","373","323","343","407","406","364"
"서울특별시 노원구 상계1동(1135063000)","42,756","2,057","328","299","318","349","390","373"
"서울특별시 노원구 상계2동(1135064000)","22,118","974","144","159","134","150","182","205"
"서울특별시 노원구 상계3.4동(1135066500)","31,783","1,388","213","193","198","228","291","265"
"서울특별시 노원구 상계5동(1135067000)","27,947","1,325","212","192","196","225","224","276"
"서울특별시 노원구 상계6.7동(1135069500)","35,708","2,064","346","323","330","390","336","339"
"서울특별시 노원구 상계8동(1135070000)","25,989","1,644","297","239","267","291","265","285"
"서울특별시 노원구 상계9동(1135071000)","23,773","1,427","215","210","239","261","240","262"
"서울특별시 노원구 상계10동(1135072000)","19,634","952","141","150","152","146","182","181"
"서울특별시 은평구 (1138000000)","497,920","24,491","4,239","3,909","3,642","4,090","4,316","4,295"
"서울특별시 은평구 녹번동(1138051000)","31,904","1,257","202","179","195","231","234","216"
"서울특별시 은평구 불광제1동(1138052000)","42,386","1,856","358","295","287","316","300","300"
"서울특별시 은평구 불광제2동(1138053000)","29,034","1,105","173","166","173","185","195","213"
"서울특별시 은평구 갈현제1동(1138055100)","25,641","1,050","149","136","134","181","230","220"
"서울특별시 은평구 갈현제2동(1138055200)","29,962","1,403","215","216","197","217","286","272"
"서울특별시 은평구 구산동(1138056000)","34,087","1,643","268","257","251","262","303","302"
"서울특별시 은평구 대조동(1138057000)","32,869","1,238","195","206","184","215","220","218"
"서울특별시 은평구 응암제1동(1138058000)","32,435","1,831","301","253","277","318","340","342"
"서울특별시 은평구 응암제2동(1138059000)","23,054","1,231","240","193","199","180","203","216"
"서울특별시 은평구 응암제3동(1138060000)","26,947","1,082","180","164","155","179","207","197"
"서울특별시 은평구 역촌동(1138062500)","49,494","2,256","412","352","327","375","388","402"
"서울특별시 은평구 신사제1동(1138063100)","28,290","1,329","196","228","204","206","232","263"
"서울특별시 은평구 신사제2동(1138063200)","22,071","1,129","187","212","148","197","194","191"
"서울특별시 은평구 증산동(1138064000)","19,773","892","148","129","142","157","158","158"
"서울특별시 은평구 수색동(1138065000)","16,562","656","114","117","84","106","118","117"
"서울특별시 은평구 진관동(1138069000)","53,411","4,533","901","806","685","765","708","668"
"서울특별시 서대문구 (1141000000)","312,141","13,893","2,214","2,239","2,129","2,373","2,473","2,465"
"서울특별시 서대문구 천연동(1141052000)","19,870","1,071","188","189","183","203","157","151"
"서울특별시 서대문구 북아현동(1141055500)","10,888","415","62","67","70","65","78","73"
"서울특별시 서대문구 충현동(1141056500)","18,839","699","114","118","94","111","138","124"
"서울특별시 서대문구 신촌동(1141058500)","18,545","486","86","75","55","76","108","86"
"서울특별시 서대문구 연희동(1141061500)","38,940","1,620","257","279","227","289","271","297"
"서울특별시 서대문구 홍제제1동(1141062000)","24,072","1,110","165","180","163","204","206","192"
"서울특별시 서대문구 홍제제3동(1141064000)","19,391","782","116","108","134","145","128","151"
"서울특별시 서대문구 홍제제2동(1141065500)","15,292","689","112","124","99","113","117","124"
"서울특별시 서대문구 홍은제1동(1141066000)","24,511","1,145","170","181","183","189","204","218"
"서울특별시 서대문구 홍은제2동(1141068500)","29,828","1,394","210","201","224","222","266","271"
"서울특별시 서대문구 남가좌제1동(1141069000)","11,023","602","132","109","94","95","96","76"
"서울특별시 서대문구 남가좌제2동(1141070000)","26,958","1,203","199","163","187","212","215","227"
"서울특별시 서대문구 북가좌제1동(1141071000)","19,644","1,140","184","188","175","185","224","184"
"서울특별시 서대문구 북가좌제2동(1141072000)","34,340","1,537","219","257","241","264","265","291"
"서울특별시 마포구 (1144000000)","387,643","18,349","3,298","2,959","2,850","3,091","3,152","2,999"
"서울특별시 마포구 아현동(1144055500)","28,226","1,021","203","178","157","162","158","163"
"서울특별시 마포구 공덕동(1144056500)","38,621","1,455","236","227","208","260","258","266"
"서울특별시 마포구 도화동(1144058500)","23,117","1,043","201","163","171","175","161","172"
"서울특별시 마포구 용강동(1144059000)","21,629","1,337","291","229","223","216","202","176"
"서울특별시 마포구 대흥동(1144060000)","13,556","398","70","61","68","62","74","63"
"서울특별시 마포구 염리동(1144061000)","14,954","651","85","96","101","116","142","111"
"서울특별시 마포구 신수동(1144063000)","19,924","1,028","178","146","172","160","208","164"
"서울특별시 마포구 서강동(1144065500)","26,063","1,179","210","205","167","186","211","200"
"서울특별시 마포구 서교동(1144066000)","26,780","800","119","139","129","132","141","140"
"서울특별시 마포구 합정동(1144068000)","19,575","607","115","100","87","83","110","112"
"서울특별시 마포구 망원제1동(1144069000)","22,282","923","153","146","150","151","149","174"
"서울특별시 마포구 망원제2동(1144070000)","20,578","1,150","216","195","159","194","197","189"
"서울특별시 마포구 연남동(1144071000)","18,047","561","94","83","77","102","109","96"
"서울특별시 마포구 성산제1동(1144072000)","20,869","933","166","143","140","156","161","167"
"서울특별시 마포구 성산제2동(1144073000)","40,062","2,407","423","384","352","436","442","370"
"서울특별시 마포구 상암동(1144074000)","33,360","2,856","538","464","489","500","429","436"
"서울특별시 양천구 (1147000000)","484,532","29,743","4,668","4,338","4,426","5,109","5,536","5,666"
"서울특별시 양천구 목1동(1147051000)","33,215","3,018","483","442","470","510","561","552"
"서울특별시 양천구 목2동(1147052000)","31,458","1,470","243","202","214","254","264","293"
"서울특별시 양천구 목3동(1147053000)","21,858","804","140","118","121","145","129","151"
"서울특별시 양천구 목4동(1147054000)","27,872","1,790","262","230","277","300","328","393"
"서울특별시 양천구 목5동(1147055000)","44,469","4,447","562","616","649","834","918","868"
"서울특별시 양천구 신월1동(1147056000)","23,476","948","164","149","148","158","156","173"
"서울특별시 양천구 신월2동(1147057000)","23,208","1,112","195","184","170","191","188","184"
"서울특별시 양천구 신월3동(1147058000)","18,200","750","136","96","118","123","136","141"
"서울특별시 양천구 신월4동(1147059000)","19,822","1,083","245","185","167","164","152","170"
"서울특별시 양천구 신월5동(1147060000)","16,346","835","142","140","121","135","131","166"
"서울특별시 양천구 신월6동(1147061000)","11,776","549","85","86","70","91","108","109"
"서울특별시 양천구 신월7동(1147061100)","23,767","1,063","190","160","160","184","179","190"
"서울특별시 양천구 신정1동(1147062000)","18,809","1,582","216","215","231","277","329","314"
"서울특별시 양천구 신정2동(1147063000)","21,817","1,626","239","191","243","278","358","317"
"서울특별시 양천구 신정3동(1147064000)","54,786","3,422","549","591","519","568","582","613"
"서울특별시 양천구 신정4동(1147065000)","35,508","1,356","224","224","199","255","234","220"
"서울특별시 양천구 신정6동(1147067000)","26,347","2,037","306","254","282","359","430","406"
"서울특별시 양천구 신정7동(1147068000)","31,798","1,851","287","255","267","283","353","406"
"서울특별시 강서구 (1150000000)","589,074","28,277","4,959","4,451","4,327","4,753","4,860","4,927"
"서울특별시 강서구 염창동(1150051000)","41,947","3,032","566","449","504","482","529","502"
"서울특별시 강서구 등촌제1동(1150052000)","22,418","894","138","132","152","133","184","155"
"서울특별시 강서구 등촌제2동(1150053000)","21,599","1,000","155","164","145","174","170","192"
"서울특별시 강서구 등촌제3동(1150053500)","35,346","1,504","227","220","209","288","265","295"
"서울특별시 강서구 화곡제1동(1150054000)","52,121","1,613","287","242","236","268","287","293"
"서울특별시 강서구 화곡제2동(1150055000)","19,977","1,052","195","180","164","166","173","174"
"서울특별시 강서구 화곡제3동(1150056000)","23,395","904","156","147","141","154","145","161"
"서울특별시 강서구 화곡제4동(1150057000)","23,021","909","168","137","136","146","152","170"
"서울특별시 강서구 화곡본동(1150059000)","36,170","1,645","298","269","243","280","274","281"
"서울특별시 강서구 화곡제6동(1150059100)","25,550","976","160","161","144","166","168","177"
"서울특별시 강서구 화곡제8동(1150059300)","26,862","1,140","195","192","178","190","173","212"
"서울특별시 강서구 가양제1동(1150060300)","24,787","1,125","192","187","156","195","183","212"
"서울특별시 강서구 가양제2동(1150060400)","16,668","339","59","48","61","53","59","59"
"서울특별시 강서구 가양제3동(1150060500)","17,575","474","88","65","74","75","87","85"
"서울특별시 강서구 발산제1동(1150061100)","40,215","2,947","504","489","436","496","510","512"
"서울특별시 강서구 우장산동(1150061500)","46,855","3,414","562","553","498","565","643","593"
"서울특별시 강서구 공항동(1150062000)","20,019","711","134","91","107","129","128","122"
"서울특별시 강서구 방화제1동(1150063000)","43,512","2,546","517","389","417","434","397","392"
"서울특별시 강서구 방화제2동(1150064000)","24,930","961","161","152","139","170","170","169"
"서울특별시 강서구 방화제3동(1150064100)","26,107","1,091","197","184","187","189","163","171"
"서울특별시 구로구 (1153000000)","422,092","19,463","3,610","3,266","3,021","3,238","3,101","3,227"
"서울특별시 구로구 신도림동(1153051000)","37,880","2,257","408","383","384","357","359","366"
"서울특별시 구로구 구로제1동(1153052000)","22,415","1,288","237","246","179","215","212","199"
"서울특별시 구로구 구로제2동(1153053000)","29,017","1,007","164","154","150","160","185","194"
